Trajanje simulacije je 2 minuta i 54sekundi.
Dimenzija mape je 15.
Broj kreiranih kuca je 7.
Broj kreiranih bolnica je 7.
Broj kreiranih kontrolnih punkteva je 7.
Broj kreirane djece je 7.
Broj kreiranih odraslih je 7.
Broj kreiranih starijih je 7.
============================================================
Statisticki podaci o stanju stanovnika zarazenih virusom JavaKov-20:
+ dijete5ime dijete5prezime ,godiste 2012, rod zenski, koordinate [0,14]
+ dijete6ime dijete6prezime ,godiste 2002, rod muski, koordinate [0,0]
+ stari3ime stari3prezime ,godiste 1939, rod zenski, koordinate [0,0]
+ odrasli0ime odrasli0prezime ,godiste 1964, rod muski, koordinate [0,14]
+ dijete1ime dijete1prezime ,godiste 2010, rod zenski, koordinate [14,0]
+ odrasli4ime odrasli4prezime ,godiste 1961, rod muski, koordinate [14,0]
- odrasli0ime odrasli0prezime ,godiste 1964, rod muski, koordinate [6,2]
- dijete5ime dijete5prezime ,godiste 2012, rod zenski, koordinate [2,10]
- dijete6ime dijete6prezime ,godiste 2002, rod muski, koordinate [9,7]
- dijete1ime dijete1prezime ,godiste 2010, rod zenski, koordinate [11,2]
- odrasli4ime odrasli4prezime ,godiste 1961, rod muski, koordinate [5,12]
- stari3ime stari3prezime ,godiste 1939, rod zenski, koordinate [12,6]
+ odrasli3ime odrasli3prezime ,godiste 1971, rod muski, koordinate [0,14]
+ stari1ime stari1prezime ,godiste 1919, rod muski, koordinate [0,0]
+ dijete6ime dijete6prezime ,godiste 2002, rod muski, koordinate [0,14]
+ stari2ime stari2prezime ,godiste 1940, rod zenski, koordinate [0,0]
- odrasli3ime odrasli3prezime ,godiste 1971, rod muski, koordinate [12,6]
- stari1ime stari1prezime ,godiste 1919, rod muski, koordinate [11,2]
- stari2ime stari2prezime ,godiste 1940, rod zenski, koordinate [3,3]
+ odrasli1ime odrasli1prezime ,godiste 1960, rod muski, koordinate [0,14]
+ odrasli3ime odrasli3prezime ,godiste 1971, rod muski, koordinate [0,0]
+ odrasli4ime odrasli4prezime ,godiste 1961, rod muski, koordinate [0,0]
- odrasli3ime odrasli3prezime ,godiste 1971, rod muski, koordinate [12,6]
+ odrasli3ime odrasli3prezime ,godiste 1971, rod muski, koordinate [0,0]
+ dijete0ime dijete0prezime ,godiste 2004, rod muski, koordinate [14,0]
- odrasli1ime odrasli1prezime ,godiste 1960, rod muski, koordinate [11,2]
- odrasli3ime odrasli3prezime ,godiste 1971, rod muski, koordinate [12,6]
- odrasli4ime odrasli4prezime ,godiste 1961, rod muski, koordinate [5,12]
- dijete0ime dijete0prezime ,godiste 2004, rod muski, koordinate [6,2]
- dijete6ime dijete6prezime ,godiste 2002, rod muski, koordinate [9,7]
+ odrasli3ime odrasli3prezime ,godiste 1971, rod muski, koordinate [0,0]
+ dijete1ime dijete1prezime ,godiste 2010, rod zenski, koordinate [0,14]
+ stari5ime stari5prezime ,godiste 1919, rod zenski, koordinate [14,0]
- stari5ime stari5prezime ,godiste 1919, rod zenski, koordinate [2,10]
+ odrasli5ime odrasli5prezime ,godiste 1957, rod zenski, koordinate [0,14]
+ dijete6ime dijete6prezime ,godiste 2002, rod muski, koordinate [0,0]
- dijete1ime dijete1prezime ,godiste 2010, rod zenski, koordinate [11,2]
- odrasli3ime odrasli3prezime ,godiste 1971, rod muski, koordinate [12,6]
- dijete6ime dijete6prezime ,godiste 2002, rod muski, koordinate [9,7]
- odrasli5ime odrasli5prezime ,godiste 1957, rod zenski, koordinate [2,10]
